postcode,Number of individuals,"Taxable income or loss3 no.","Taxable income or loss3 $","Gross tax no.","Gross tax $","Medicare levy no.","Medicare levy $","Medicare levy surcharge no.","Medicare levy surcharge $","Net tax no.","Net tax $","HELP assessment debt no.","HELP assessment debt $","Salary or wages no.","Salary or wages $","Allowances earnings tips directors fees etc no.","Allowances earnings tips directors fees etc $","Employer lump sum payments amount A no.","Employer lump sum payments amount A $","Employment termination payments taxable component no.","Employment termination payments taxable component $","Australian government allowances and payments no.","Australian government allowances and payments $","Australian government pensions and allowances no.","Australian government pensions and allowances $","Australian annuities and superannuation income streams taxable component taxed element no.","Australian annuities and superannuation income streams taxable component taxed element $","Australian annuities and superannuation income streams taxable component untaxed element no.","Australian annuities and superannuation income streams taxable component untaxed element $","Gross interest no.","Gross interest $","Dividends unfranked no.","Dividends unfranked $","Dividends franked no.","Dividends franked $","Dividends franking credit no.","Dividends franking credit $","Total Income or Loss3 no.","Total Income or Loss3 $","Total work related car expenses no.","Total work related car expenses $","Work related travel expenses no.","Work related travel expenses $","Total work related uniform/clothing expenses no.","Total work related uniform/clothing expenses $","Total work related self education expenses no.","Total work related self education expenses $","Other work related expenses no.","Other work related expenses $","Low value pool deduction no.","Low value pool deduction $","Interest deductions no.","Interest deductions $","Dividend deductions no.","Dividend deductions $","Gifts or donations no.","Gifts or donations $","Cost of managing tax affairs no.","Cost of managing tax affairs $","Total deductions3 no.","Total deductions3 $","Total reportable fringe benefits amount no.","Total reportable fringe benefits amount $","Reportable employer superannuation contributions no.","Reportable employer superannuation contributions $","Net primary production distribution no.","Net primary production distribution $","Net non primary production distribution no.","Net non primary production distribution $","Share of franking credit from franked dividends no.","Share of franking credit from franked dividends $","Net PSI transferred no.","Net PSI transferred $","Deferred non-commercial business losses primary production deferred losses no.","Deferred non-commercial business losses primary production deferred losses $","Deferred non-commercial business losses non primary production deferred losses no.","Deferred non-commercial business losses non primary production deferred losses $","Capital gains net capital gain no.","Capital gains net capital gain $","Estimated tax on net capital gains no.","Estimated tax on net capital gains $","Capital gains total current year capital gains no.","Capital gains total current year capital gains $","Capital gains net capital losses carrier forward no.","Capital gains net capital losses carrier forward $","Foreign source income assessable foreign source income no.","Foreign source income assessable foreign source income $",Foreign source income other net foreign source income,Foreign source income other net foreign source income,"Foreign source income foreign income tax offset no.","Foreign source income foreign income tax offset $","Gross rent no.","Gross rent $","Rent interest deductions no.","Rent interest deductions $","Rent capital works deductions no.","Rent capital works deductions $","Rent other rental deductions no.","Rent other rental deductions $",Net rent - profit no.,Net rent - profit $,Net rent - loss no.,Net rent - loss $,"Net rent3 no.","Net rent3 $","Other income category 1 no.","Other income category 1 $","Other income category 2 no.","Other income category 2 $","Personal superannuation contributions no.","Personal superannuation contributions $","Other deductions no.","Other deductions $","Total business income3 no.","Total business income3 $","Total business expenses3 no.","Total business expenses3 $","Net income or loss from business no.","Net income or loss from business $","Estimated business net tax no.","Estimated business net tax $","Australian superannuation income stream tax offset no.","Australian superannuation income stream tax offset $","Net medical expenses over the threshold amount tax offset no.","Net medical expenses over the threshold amount tax offset $","Low income tax offset no.","Low income tax offset $","Mature age worker tax offset no.","Mature age worker tax offset $","Termination payment tax offset no.","Termination payment tax offset $"
2791,118,118,7817099,118,1645436,110,111701,5,5447,118,1698091,3,11950,104,6055231,20,35680,1,10019,2,18509,8,40055,2,21285,2,39896,2,43397,61,92423,14,2952,33,129621,33,55549,118,8254916,46,101777,6,3879,80,24624,9,32365,74,70095,3,351,2,530,1,1320,52,13781,59,26722,109,437817,7,99353,12,128353,12,103439,18,957741,10,285368,1,4280,0,0,5,86219,4,106767,3,14745,7,867688,12,522374,1,25,1,25,0,0,29,824706,20,239015,12,58198,28,295618,17,294470,13,-62595,30,231875,10,5060,2,47164,7,160000,3,2373,9,544882,9,336107,10,161203,6,37688,4,10289,4,2843,84,24756,16,7000,3,3761
2792,142,142,9381001,142,2022133,135,134693,3,4769,142,2057829,3,7561,114,6402195,30,65910,2,25919,3,123974,11,49535,4,26680,2,12742,2,60552,76,212570,19,15765,44,780972,44,334690,142,9920002,41,118172,11,40110,89,28217,5,9197,71,89412,2,2725,5,8490,5,45474,46,12630,63,22279,125,525348,6,105387,12,96415,38,881123,39,521969,14,40504,0,0,4,11138,2,8059,7,59211,6,5528,14,516731,20,1362712,10,38097,10,29196,10,3902,23,468005,16,227350,8,17885,23,166096,14,88305,10,-31631,24,56674,13,15878,1,40,8,126924,15,21718,13,649097,13,343460,12,291865,9,51844,3,5701,1,147,87,30105,23,9962,4,23107
2793,293,293,19660635,293,4631751,271,271645,4,6783,293,4572606,12,48318,257,13678677,91,240638,8,189382,7,64699,32,155382,12,84019,3,55387,1,33887,183,406646,29,23494,80,930285,80,398667,293,20421089,86,208858,20,106360,197,53364,9,15808,168,135857,3,535,1,484,4,12958,94,33066,142,53789,254,713923,16,452606,28,247282,48,523030,47,2495923,13,688452,0,0,4,585714,4,1707,8,90757,7,9451,13,222851,30,648471,14,7410,13,2909,12,575,25,467468,19,216833,6,10770,25,243514,11,84097,14,-87746,25,-3649,19,53672,0,0,6,67379,14,25465,21,1650308,23,1736796,24,-88533,15,94549,4,11208,5,3621,226,77886,65,28061,14,140035
2794,3630,3630,202049568,3630,37889061,3407,2849859,46,85558,3630,38104917,82,277108,3037,148687427,1045,2096678,67,909322,25,232959,283,1045800,119,853174,46,932895,44,1271691,2226,3860476,301,426621,915,8737587,914,3744255,3630,212735084,1017,2195955,319,1026563,2454,716502,182,320700,1863,1915200,56,15619,72,173330,52,114089,1087,474931,1885,469845,3282,10220046,176,3195323,338,2616431,325,5148471,711,21458831,199,468605,8,312823,32,606960,28,312474,156,2198232,153,597667,211,6987363,278,3706004,157,176647,151,89356,148,75339,449,6152408,327,2310794,100,172924,444,3129825,215,1599538,239,-1060673,454,538865,333,302526,26,87874,143,2435683,182,358226,321,28016989,308,20449861,320,7201663,247,1515620,75,223210,73,70829,2794,948896,520,235356,70,370322
2795,16341,16341,1045818864,16339,215986379,15724,15094830,340,417450,16341,221925491,645,2190396,14717,881570809,4002,9745055,315,5715044,366,6071861,1088,5073601,331,2628358,261,5418566,128,3260180,9709,14367678,1417,963488,4131,26266887,4118,11253134,16341,1094759791,5742,13896782,1415,3284661,11146,3235438,1042,1793803,10748,12470834,630,223371,289,565397,319,1064033,7761,2589051,9732,2646065,15255,48225056,1105,19185795,2387,17709921,632,1058708,2201,60737025,854,4128443,75,1207754,109,2121467,154,1233686,799,8604411,792,2202987,1087,23911043,1309,21591565,759,3637833,727,2558637,653,498355,2533,43614542,2083,20587010,1071,2683559,2533,19679889,1078,9573736,1473,-8909652,2551,664084,1071,1222448,156,571523,283,4197069,1071,2223693,1158,126940341,1164,92046871,1195,33639708,896,8459525,290,910064,432,339717,10520,3392589,1572,683232,539,2517227
2797,136,136,7582852,136,1397845,124,106121,0,0,136,1412863,1,3751,121,6359295,29,45160,2,50506,2,89255,6,45650,3,22417,3,9220,3,133152,73,85474,3,4387,22,134521,22,57647,136,7910093,51,107202,8,59832,100,29712,7,6612,96,82348,1,38,3,3425,2,480,56,7873,75,21733,121,326693,9,176233,13,72905,13,192063,16,65635,5,1360,3,35245,1,513,2,6961,4,25964,4,3917,4,55199,8,51254,4,133,4,133,3,28,13,125725,11,79039,6,4423,13,54542,5,19047,8,-31326,13,-12279,8,40426,3,15549,0,0,6,7438,24,2226598,23,1705020,24,525089,17,110953,3,4141,4,4395,98,34978,21,9230,3,9427
2798,861,861,63326179,861,14642136,831,916872,21,22714,861,15138252,41,134533,743,51082022,187,470009,18,331734,14,184281,36,155772,13,100104,12,121798,12,374057,513,1219496,94,63140,255,1919674,254,822658,861,66535153,301,747099,84,227206,563,149084,62,104473,534,595961,28,13116,31,155467,16,193031,359,164513,464,166274,772,2988261,70,1201675,110,867231,104,-636976,172,4770535,71,754960,5,52869,15,704451,15,132127,62,984317,60,176625,89,2380669,98,1161846,48,37098,48,30218,45,3570,183,3286445,145,1815958,71,115148,184,1443632,82,680315,105,-768608,187,-88293,74,92369,12,12983,20,277170,88,180823,110,31824742,110,28411817,113,3236186,74,901830,16,28071,17,19657,503,165713,100,37932,27,107336
2799,1537,1537,91472245,1537,17753629,1455,1306524,24,31173,1537,18210278,43,132435,1378,82755356,308,842917,27,401820,46,562983,90,414408,31,215293,15,182362,12,375368,837,1360483,144,40064,368,1312405,366,562264,1537,96367756,603,1559806,129,445900,1156,351294,115,182630,1007,1023887,34,18367,26,22372,26,124467,727,180480,895,249602,1418,4808177,74,1311382,162,1038985,137,416133,177,4252023,51,131048,3,67038,15,534515,14,147870,64,668550,64,121743,83,2659437,90,1585889,51,85357,47,16545,47,82134,195,2796515,169,1599294,65,162251,196,1360997,60,491177,134,-817204,194,-326027,77,131962,22,52678,21,365650,151,279421,104,9615571,106,8369830,111,839202,67,315768,18,40256,38,31094,1055,347742,189,83806,47,123977
2800,17934,17934,1209334187,17933,260968040,17226,17439630,267,377024,17934,269506648,720,2683377,16249,1009868596,4228,8675231,305,6174492,352,5046099,973,4512393,391,3093686,235,4620918,119,2938619,10768,15790572,1437,1347214,4245,40330475,4237,17276203,17934,1268303677,6615,15962290,1687,3931771,12843,3753595,1881,3248132,11765,12165977,714,325097,749,1158508,403,1205575,8656,2726359,10382,3216905,16759,58382745,1729,30276525,2173,18325573,564,-2374713,2488,76080741,962,5595002,81,2799262,102,2248477,203,1523470,866,9462752,861,2444044,1174,30609130,1354,26265201,842,2941059,784,1345874,738,564877,2827,49935479,2344,25481143,1094,2608301,2824,24284583,1104,10282379,1740,-12720927,2844,-2438548,1199,980126,174,960247,389,7000438,1698,3654240,1346,146613343,1355,95239684,1402,51008503,1023,15453908,278,818010,424,297302,11326,3631004,1706,723699,535,2009865
2803,86,86,5016639,86,987942,80,70887,1,1356,86,966224,0,0,66,3337211,17,46372,4,69471,4,39338,3,13319,6,47712,3,29502,3,175882,64,226428,6,835,24,25215,24,10802,86,5349500,26,54332,5,9185,48,14321,2,4781,38,55035,3,1174,2,293,0,0,25,5648,42,14374,71,332597,4,103209,13,151086,23,188153,16,578240,5,6141,0,0,5,105738,0,0,5,64325,5,23779,5,135540,13,141263,2,654,2,654,3,119,7,114291,4,10077,1,20,7,50700,7,53494,0,0,7,53494,13,24510,1,46,6,160240,6,13214,17,873208,15,496574,17,362880,14,63512,6,22013,4,602,59,21570,18,7220,7,10869
2804,874,874,47260004,874,8591926,840,670392,10,10321,874,8630007,20,68723,732,36298094,282,870072,11,291834,8,45190,68,342450,20,193453,8,188486,7,104838,556,832477,80,172130,221,1895637,221,812449,874,49867917,252,508059,70,274041,603,168921,56,103905,507,517086,11,3786,17,11079,16,9938,234,100291,502,126805,784,2468837,49,928266,63,463233,125,2199915,160,2590895,52,171709,4,79205,7,73138,6,26021,30,305581,30,80923,42,1513734,78,950667,50,38878,46,11802,42,1468,123,1954183,95,832100,30,86675,124,924211,50,453418,76,-342221,126,111197,42,22183,4,2905,33,553354,49,91572,94,13368406,91,11169324,94,2078075,71,515761,10,34232,10,6882,680,230023,133,59729,21,87846
2805,142,142,7656509,142,1363046,132,104620,0,0,142,1258320,3,7961,118,5810691,27,33423,3,27917,1,3525,12,50430,2,16322,2,13186,1,12891,79,117907,9,1012,31,22449,31,9628,142,7979960,44,83714,11,41356,94,30331,4,2175,75,69961,1,809,1,137,1,964,38,8087,64,13288,121,278680,6,119611,9,22275,30,789556,26,223811,8,10198,1,17206,1,17937,1,2767,2,48082,2,8992,5,98085,11,37319,4,5171,4,5171,4,422,17,204719,13,89915,5,6607,16,93173,7,52506,9,-37482,16,15024,7,10389,0,0,3,16400,7,11458,17,1465060,16,980437,16,485473,12,78447,1,910,3,2468,112,34830,21,8902,7,79456
2806,321,321,18750305,321,3646968,310,272013,5,6238,321,3683569,11,31549,259,12993145,72,145764,1,675,0,0,22,116717,8,63456,2,9908,0,0,197,483565,27,11025,79,1294326,79,554684,321,20005368,96,233153,32,91683,211,63680,22,49269,174,172153,5,678,15,13489,4,1621,115,24356,187,56480,292,1233308,20,371886,15,119002,57,2450957,57,970990,15,41775,1,23197,5,135870,2,7505,14,90244,13,13069,17,199153,34,339241,16,3691,15,1851,14,346,42,485629,28,168984,9,4963,41,279637,20,131897,22,-99852,42,32045,20,49173,2,16760,24,450042,18,76704,33,4191226,32,3437040,33,716329,25,131067,2,1487,4,3159,245,82159,39,18005,3,7799
2807,104,104,5319151,104,917226,97,73767,0,0,104,892156,1,2812,77,3494701,28,114145,4,39324,1,23871,9,49647,5,48931,0,0,1,19713,59,101904,7,4694,25,132738,25,56882,104,5786846,24,61370,11,62775,65,18104,2,2495,48,53094,0,0,1,68,0,0,21,6432,54,10493,93,452783,4,94021,1,230,36,1312627,18,152869,8,10196,0,0,3,10558,0,0,1,1309,1,301,4,329176,9,41304,5,38966,4,1041,4,107,9,89801,4,20364,0,0,8,25740,4,53131,5,-9434,9,43697,11,646,0,0,9,222647,6,11630,8,1114624,7,835101,9,285929,8,51233,1,1970,3,341,85,29277,22,10054,2,901
2808,33,33,1809516,33,326978,33,26178,0,0,33,328588,1,4792,32,1666181,8,39021,0,0,1,19720,4,28950,0,0,0,0,1,18234,15,5802,4,1636,8,2806,8,1201,33,1888538,8,26342,0,0,26,6799,1,3617,19,30365,0,0,0,0,0,0,12,6345,19,5554,30,79022,2,36417,3,16413,2,17924,4,1478,0,0,0,0,0,0,0,0,2,5545,2,998,2,11253,2,207,0,0,0,0,0,0,3,48545,3,39461,1,7564,2,15240,1,6348,2,-20068,3,-13720,3,12575,0,0,0,0,0,0,5,353394,5,262592,5,81185,3,14198,0,0,2,516,25,8849,7,3500,1,4338
2809,64,64,4147352,64,843141,61,60854,1,910,64,814627,1,6200,43,2088027,11,27109,1,3359,0,0,2,19469,1,5506,0,0,0,0,47,131284,15,14603,29,102426,29,43895,64,4445564,13,34674,7,16277,30,8034,1,668,23,25733,1,59,5,5615,5,3730,28,10061,28,6425,59,273468,4,76377,5,38108,36,1853306,31,345809,22,12885,0,0,1,5068,1,3092,9,162640,9,39577,13,313248,13,131662,13,3158,13,3158,11,316,9,128572,5,12901,0,0,8,46756,7,69143,2,-228,9,68915,12,615,1,642,12,155229,4,6963,7,352311,6,320670,7,31641,4,4051,0,0,1,23,32,10171,9,4396,1,84
2810,1125,1125,64603520,1125,12474431,1049,907012,8,9317,1125,11916579,27,85463,801,37715025,228,484276,10,113682,14,234144,65,292104,37,292157,9,55675,13,346309,766,1721792,200,63269,452,2425377,452,1038734,1125,69348698,275,594348,118,314552,630,202134,51,72593,544,650767,39,8736,55,23046,42,45025,556,97832,523,143034,989,4363207,29,422237,82,611493,315,15022098,345,4676157,124,256376,5,115194,14,1046198,19,151262,68,453638,66,89312,107,1631304,209,2279485,71,117477,71,117477,64,3915,165,2247181,121,1006381,41,72058,160,903844,85,677397,80,-412499,165,264898,89,71228,21,103938,100,2068129,90,143011,106,14121037,102,11294530,109,2757767,81,493036,19,36153,22,20824,838,282331,184,81052,24,136237
2818,211,211,12503676,211,2416022,206,181000,3,4321,211,2473113,2,6560,186,10828571,49,86427,2,50856,5,101538,9,63028,3,31778,3,14211,1,40775,126,126877,14,12830,53,258680,52,110852,211,13115269,61,124972,18,61378,142,36914,14,22715,127,171229,5,1830,2,12584,1,13200,64,25776,104,27546,185,592708,13,195320,22,123328,27,58759,25,385006,10,92352,0,0,3,38678,2,2459,4,72974,4,11747,5,145818,15,188573,5,6907,4,345,5,1080,26,306756,22,152418,9,17187,25,166296,8,70427,19,-99572,27,-29145,6,2463,1,87636,3,82939,7,11625,20,2341988,20,1622457,20,715657,16,108261,4,6194,6,11044,132,45618,29,12703,8,30778
2820,2084,2084,117889258,2084,22227490,1946,1652726,26,42271,2084,22241756,54,195398,1792,96485114,574,1175606,35,619588,25,327879,154,821517,73,575080,23,497591,19,463211,1106,2043892,203,125253,447,3131460,447,1341957,2084,123721451,680,1426276,201,678386,1502,429016,82,114894,1303,1296368,30,8831,19,14893,25,64018,904,233457,1214,290320,1866,5616337,119,2252648,177,1032485,230,5008728,307,4065759,91,220474,5,101207,25,533609,21,173786,77,606191,77,125202,96,1451997,95,1219063,69,377241,67,44177,57,103230,280,4201209,220,1621490,61,138720,278,2053123,117,1118505,165,-730629,282,387876,141,123530,35,69290,41,934344,84,122544,170,24415341,167,20723361,173,3534062,118,884884,34,96598,30,28851,1510,506912,285,124905,61,376363
2821,1732,1732,101573781,1732,19611750,1639,1455638,20,25358,1732,20081674,58,194613,1469,80199505,444,1150056,19,260140,29,189643,93,529377,49,427095,20,238468,13,355244,1060,1864631,159,196377,416,2118014,414,907678,1732,107010348,485,982586,204,561129,1180,317249,72,140048,934,1020278,39,16405,24,75926,21,81809,473,139766,931,236599,1560,4997208,105,1918082,168,1094503,183,4196197,329,7726659,79,397120,12,243137,16,232667,8,63385,63,590363,63,134848,94,3222308,115,1736332,47,27622,47,27622,44,3942,227,3282577,170,1520780,54,97524,219,1301851,103,923381,123,-560959,226,362422,116,186820,32,60005,78,1213226,124,208391,145,15003736,141,10515911,146,4389700,112,1103970,25,47940,23,21062,1232,405963,234,100293,40,35372
2823,517,517,30606346,517,6008599,496,438695,3,3645,517,6030045,12,44486,395,19516980,116,347732,4,37222,6,10678,37,210263,11,105008,4,82290,2,13013,317,944984,64,30846,163,1643866,163,704496,517,32344093,96,206212,63,184514,307,89761,16,17881,223,215447,3,942,10,7730,17,45375,84,43684,271,62618,441,1652486,22,280014,28,214419,93,3898261,139,3179822,52,339928,1,1132,0,0,5,17178,34,472768,33,130992,48,1164724,39,854587,37,26375,37,26375,31,9005,103,1959531,72,794847,23,63696,100,767581,65,528142,39,-194735,104,333407,37,108038,20,20071,36,750506,19,27676,44,5194691,43,4250603,45,880014,34,199997,4,12699,2,11360,363,124729,63,24399,7,2734
2824,958,958,57576064,957,11432532,918,820447,12,12908,958,11667875,32,140271,785,41215566,211,385459,6,191049,6,52310,62,398983,21,145644,3,23847,1,3750,580,1621368,131,176257,297,2471442,297,1059111,958,61410191,304,676001,94,197672,655,193531,42,74315,493,600890,18,8355,16,207750,20,117543,229,92240,497,153523,858,3573782,45,582882,144,1197969,128,5576785,221,5563577,72,521250,1,2250,6,141053,6,13978,52,386494,52,77484,88,2564034,95,2137446,67,40493,65,26432,45,3905,129,2037539,88,909624,52,90315,125,868547,71,539416,59,-370363,130,169053,74,519534,13,1095,59,1159237,55,92508,78,9723464,76,7558641,80,2102013,64,471944,3,3577,23,25455,674,213379,125,54992,8,13081
2825,980,980,63554782,980,13248076,948,914647,16,22505,980,13449345,35,143310,814,48741196,253,420835,7,60869,10,97068,49,312201,18,187508,2,92230,3,106856,571,1417836,103,126348,259,2674489,259,1146063,980,67302956,314,858996,110,225794,672,219491,66,90051,574,730319,21,9591,29,45826,23,109461,370,136017,522,192027,866,3452076,47,692795,86,492597,140,5341257,163,3523313,37,167227,4,40486,9,170252,1,1730,44,574952,44,104285,60,2655671,67,938337,35,237190,34,14333,29,67758,150,2970036,112,1115780,34,81073,148,1317355,63,882999,86,-427171,149,455828,93,34897,9,9795,42,757653,40,76850,84,10087238,80,7871890,85,2119308,60,443350,4,19930,14,13451,633,205631,117,51398,14,42690
2826,55,55,3174211,55,606640,53,45299,0,0,55,606535,4,16230,41,2282234,9,10004,0,0,0,0,5,46024,0,0,1,6810,0,0,39,139156,10,6466,19,223133,19,95625,55,3532626,19,82885,3,5246,33,8662,5,7387,30,59726,2,140,0,0,0,0,12,1602,19,8627,51,358415,3,66082,9,35466,10,189758,12,184859,4,2545,1,50097,0,0,0,0,1,57,1,13,3,73310,4,29131,4,9779,4,9779,3,172,11,143432,6,18287,2,2900,11,68571,7,57658,4,-3984,11,53674,3,428,1,22112,8,172625,4,11515,6,257931,5,290441,6,-32133,5,4338,1,1021,0,0,39,12115,9,3375,1,22041
2827,1203,1203,67972521,1203,12917364,1119,962862,13,19288,1203,13129457,40,126434,1005,52343237,411,939617,18,306211,5,136556,82,424048,33,240828,12,226937,1,18972,711,2796816,108,55394,296,1109549,296,475334,1203,71302827,308,774622,100,236664,814,231065,66,115696,624,685109,16,3753,7,6105,7,18311,421,145461,630,168915,1038,2998870,52,870411,101,754479,181,5301073,225,3535067,56,132076,1,12529,7,239087,12,97969,55,299533,53,35952,63,903376,61,967019,42,71467,38,16136,37,1736,176,2069067,138,850198,35,54630,177,1008777,80,496665,96,-341203,176,155462,85,73532,16,198456,32,513170,55,99953,108,12316712,105,9748253,109,2417673,80,498396,11,30747,19,17421,899,293587,174,75300,22,51116
2828,227,227,14352708,227,3275616,208,202390,1,2,227,3308653,4,9144,167,7074214,48,69267,3,10047,2,1150,18,108183,4,54772,2,33896,2,86908,136,415024,37,69756,67,859340,67,368279,227,15295935,58,154967,15,46653,122,34276,13,18284,99,123476,7,1378,1,620,4,61315,34,82953,89,21659,185,938170,5,100041,17,231154,72,1535522,64,1458154,28,351282,0,0,6,144609,3,13959,14,2299449,14,1017980,28,5476962,35,731738,15,5563,14,4399,13,719,27,457852,21,179508,8,17847,27,190010,15,124005,12,-53518,27,70487,20,11533,2,16649,21,365646,9,26943,28,2949042,29,2556129,28,318863,20,71093,2,5084,5,6469,177,62099,27,10391,3,116
2829,1015,1015,59686517,1015,11799153,932,835349,28,43116,1015,12137173,36,121877,861,44893351,238,283761,13,243102,15,204887,53,313823,15,163865,10,227678,2,72531,652,1293009,108,50078,256,3143545,256,1347164,1015,63092811,301,755447,83,130654,655,186686,34,55954,550,648948,53,14515,34,97702,23,70519,182,111721,378,205582,892,3070042,82,1514445,99,880210,142,62120,182,5627672,60,174878,3,102926,20,572856,9,159416,47,410892,47,104518,67,2243585,85,701026,41,7402,42,7395,30,845,148,2299302,116,1230678,42,104177,151,1053398,60,376020,88,-464971,148,-88951,96,151231,9,32129,40,663293,49,129021,90,17869703,92,14269594,89,3273314,65,845820,10,31200,9,15378,730,243137,128,53926,19,33807
2830,16874,16874,1032580785,16874,206270584,15914,14681625,242,304690,16874,213010062,713,2404802,15243,862651704,4256,9662535,243,3567429,232,2022527,924,4124721,431,3561257,191,3626399,100,2369802,9945,14260035,1199,961196,3920,29927899,3913,12821143,16874,1078689886,4275,9352219,1865,5162444,12097,3155434,973,1683901,10314,10457552,771,309953,285,626563,314,1015729,5152,2354770,8905,2638585,15751,45284062,1530,27838088,1832,15139581,570,22461,2475,72244282,898,5492466,66,1930801,110,1484843,126,850840,777,11785646,767,3439928,1036,29143769,1093,17347764,662,816001,647,252225,608,96038,2391,40078693,2006,18516382,985,2623527,2392,19324180,961,8501929,1452,-8887325,2413,-385396,1165,1986614,134,557086,382,6165943,1082,2326941,1163,122350428,1157,89832808,1184,32085295,902,7691026,242,655710,310,204445,11593,3724382,1674,718862,413,1436490
2831,1074,1074,59555568,1074,11115422,992,834386,14,18201,1074,10973123,39,132515,837,46339515,253,556617,8,44368,21,104707,58,227777,20,161307,13,167114,5,148655,657,1477851,118,96891,301,1684320,301,721803,1074,63556387,266,607746,114,393091,671,178463,43,73541,569,604508,30,11152,14,43072,10,12686,263,84172,493,135944,905,3560923,62,1126384,67,411044,282,4427419,251,2920992,53,180658,3,8347,16,536937,10,103907,45,557446,45,93730,68,6106470,68,629141,36,35557,35,9787,27,5905,145,2104760,108,926641,25,57620,140,911449,79,540485,65,-331435,144,209050,89,139433,10,26986,69,1302731,42,113812,111,11269509,114,9151885,116,1713386,78,426765,15,24996,16,9044,806,270042,157,69580,32,192543
2832,817,817,45747860,817,8578537,750,632752,5,5616,817,8788806,41,139906,703,36984263,213,725856,16,132566,8,38951,83,458460,21,183907,0,0,1,20781,376,898652,40,19426,161,980186,161,419946,817,48051078,205,553929,58,78439,560,131067,37,66181,480,518130,13,3560,6,2595,7,24375,163,41850,472,140287,730,2098556,59,1039013,59,431377,84,980426,131,2276776,33,159961,6,54557,11,196109,17,208497,38,1005601,38,380566,45,2364450,38,917908,27,14598,25,5642,25,651,130,2806112,120,1400040,41,133916,134,1362383,40,585673,94,-675900,134,-90227,53,69054,11,35819,26,508318,24,29588,56,7323010,57,6052739,63,1124849,45,188434,1,2078,5,5110,598,191159,101,46143,26,33657
2833,187,187,10911567,187,2128219,176,152836,2,2377,187,2089606,12,43704,165,9054966,50,59482,2,39214,6,39852,16,112808,5,44265,0,0,0,0,92,191447,15,3055,28,213918,28,91670,187,11552411,67,183327,21,35418,127,36583,14,27971,115,135806,8,1751,3,22667,0,0,54,13678,117,34699,168,640844,19,287906,13,59363,20,986306,23,318764,9,32372,1,12373,1,41810,2,26803,2,852,2,51,3,2595,11,254464,5,458,5,458,3,33,27,638885,25,505721,10,30517,27,307715,7,25001,20,-230069,27,-205068,16,8034,2,44,8,145090,3,3854,10,1141810,10,995147,10,202441,7,40093,0,0,2,3696,142,46286,34,15566,4,23541
2834,555,555,28068608,555,4766039,501,378071,6,6285,555,4745468,26,84813,486,23637552,152,285508,2,71514,10,39780,77,417456,20,230623,5,103409,2,31306,282,337821,23,9395,85,543568,84,232888,555,29319056,133,343905,59,85923,396,109440,25,57089,288,314073,12,5146,5,6967,7,18425,165,41814,290,99562,500,1232026,29,495427,43,407469,10,-77788,57,1241733,15,7686,4,38659,2,78396,9,58416,22,462512,22,109690,28,1203889,20,139428,16,62367,13,3147,12,5836,97,1747319,80,630838,30,48608,97,818999,38,564947,59,-316073,97,248874,49,35912,7,9723,4,125000,20,24682,41,4280121,42,3178376,44,981018,33,188485,4,10502,3,3325,442,157495,87,40834,13,79796
2835,1736,1736,145225740,1736,35603456,1666,2101268,86,148786,1736,36171356,50,197794,1600,126189581,283,697685,56,1475497,54,485845,70,374024,28,263415,13,54898,6,109070,1045,1316598,109,28197,283,1423679,283,610726,1736,149864389,449,1022992,154,262051,1416,397013,108,253183,1016,985673,50,20456,18,32228,18,20580,472,163569,1023,386634,1638,4452175,46,663532,182,1038812,96,6869820,172,7278069,41,47411,2,30873,11,112734,20,123896,46,448231,45,110953,59,805335,81,2527776,48,285601,45,14138,47,84790,285,4585312,258,2549770,127,420296,288,2642456,88,577871,198,-1605081,286,-1027210,112,235295,19,90446,34,605436,133,301560,94,6486430,94,4537513,97,1837784,59,497874,13,7620,20,17915,818,268750,120,52966,78,289626
2836,235,235,13380874,235,2548547,222,191142,0,0,235,2433121,13,52643,186,9555232,65,142690,0,0,2,15679,20,117411,4,31022,1,8378,2,27584,130,266087,16,9308,36,149503,36,64063,235,14041984,54,120906,24,49640,144,39019,8,7142,118,138751,5,5245,1,189,1,228,52,15529,139,39259,199,548996,12,175573,17,85748,30,2284982,32,396318,15,27801,5,52478,1,4649,3,33519,7,145261,7,37000,10,1412367,11,93069,12,5114,11,3955,10,402,19,290031,18,194234,7,20931,19,184236,1,4574,17,-113944,18,-109370,22,50105,0,0,7,126023,7,7065,35,3817567,34,2315907,38,1515455,34,192670,3,4016,2,1943,165,58612,39,17885,2,26042
2839,341,341,18537287,341,3294181,325,263096,8,9438,341,3375128,19,54632,308,16728131,117,220198,6,75290,3,4338,30,143489,7,76252,0,0,0,0,170,256196,15,7047,47,119284,47,51105,341,19428868,97,245059,40,70983,227,57034,21,34497,201,264596,12,3676,4,1056,0,0,75,17596,206,61380,312,877828,39,536952,21,177986,40,579859,43,792519,5,54356,1,1350,5,23797,2,6587,5,15586,5,3756,8,36722,14,414638,4,674,4,674,4,100,47,656838,36,292230,11,18806,45,348372,22,138870,25,-141440,47,-2570,28,11319,3,375,4,118000,7,3951,25,1695794,25,1343739,26,344298,17,42253,0,0,1,7049,254,80375,40,16665,12,39134
